"","period","Agricultural Sciences","Engineering and Technology","Humanities","Natural Sciences","Social Sciences","Total"
"1","1995-2000",18,-100,NA,22,NA,16
"2","2000-2005",21,Inf,NA,12,Inf,19
"3","2005-2010",22,48,NA,22,17,24
"4","2010-2015",13,18,Inf,20,6,16
"5","Total: 1995-2016",17,18,Inf,18,Inf,18
